ID_Facture ; Date_facture ; Prix_total ; Remise ; Prix_avec_remise ; ID_Salarie ; ID_Client 
 1 ; 2016-01-12 ; 112.45 ; 0 ; 112.45 ; 5 ; 3 
 2 ; 2016-02-04 ; 2793.76 ; 15 ; 2374.7 ; 6 ; 6 
 3 ; 2016-03-14 ; 11.29 ; 0 ; 11.29 ; 8 ; 8 
 4 ; 2016-04-13 ; 657.4 ; 0 ; 624.53 ; 10 ; 9 
 5 ; 2016-05-24 ; 654.12 ; 0 ; 654.12 ; 5 ; 4 
 6 ; 2016-06-06 ; 21.31 ; 0 ; 21.31 ; 6 ; 2 
 7 ; 2016-08-17 ; 186.46 ; 0 ; 186.46 ; 6 ; 7 
 8 ; 2016-09-03 ; 2494.47 ; 10 ; 2245.03 ; 5 ; 1 
 9 ; 2016-11-09 ; 88.75 ; 0 ; 88.75 ; 6 ; 5 
 
